ngramme	BenTroieC_1partial	SGeorgDeG	AlexisPQ	BenTroieC_4partial	Yvain	MeraugisF	ChaceP	DancusM	AlexisOctP	PercevalKu	AlexisP13	Cliges	JugAmD	AlexisP11	JAvesnesFilleB	FillePonth1B1	SGeorgVosL	ThebesC	AigarB	UnicornecW	LancJ	ErecF	CleomHas	AlexisPRI	OmbreB2
tid	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tie	94	17	26	28	140	43	20	26	26	197	70	129	5	21	61	118	6	145	3	9	150	114	298	42	23
tif	0	1	0	0	1	0	0	0	1	0	0	0	1	0	4	0	0	4	0	0	1	0	2	0	0
tig	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
tih	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tii	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	3	0	1	0	0	0	7	14	0	0
til	6	0	7	0	5	2	2	1	4	3	2	2	2	4	12	1	4	9	0	0	0	10	35	4	3
tim	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	1	4	0	0
tin	34	2	10	5	38	25	2	11	9	54	8	36	2	3	9	6	0	104	5	1	34	40	128	11	2
tio	7	0	1	1	1	0	0	0	2	1	1	6	0	1	11	0	0	27	1	0	0	1	6	1	0
tip	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
tiq	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0
tir	34	9	13	5	33	17	4	1	4	47	7	41	2	1	21	11	5	49	2	6	45	41	107	9	3
tis	18	4	8	4	16	2	1	3	3	23	6	19	0	3	5	6	3	28	2	3	14	30	68	13	3
tit	25	1	3	4	22	5	2	4	3	40	8	14	1	3	9	15	0	25	1	2	18	34	62	6	2
tiu	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	21	0	0	0	0	1	0	0	0	0
tiv	4	0	2	1	7	0	0	0	4	13	1	2	1	0	5	3	2	15	0	0	5	4	4	3	0
tix	0	0	0	0	16	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
tiz	16	0	1	2	0	7	0	3	0	10	0	4	2	2	0	0	0	13	0	0	3	7	0	0	2
tiç	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tiè	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tié	15	0	10	3	23	2	0	5	15	11	4	15	0	0	3	6	1	58	0	0	18	8	47	6	8
tië	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tja	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
tjo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
tk 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
tle	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
tli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
tma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
tme	8	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	15	0	0	0	0	0	1	0
tmi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tn 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
tne	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
to
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
to 	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
toa	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0
tob	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
toc	2	0	0	2	2	8	0	0	0	8	2	9	0	0	1	0	2	11	0	0	12	9	0	0	0
toe	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	6	0	0	1	0	0	0	0
tof	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
toi	33	14	44	1	165	108	12	19	2	232	37	111	20	16	91	112	2	11	1	5	187	205	906	42	31
tol	8	0	9	4	10	1	0	0	2	20	17	9	0	12	1	16	0	20	0	1	10	3	15	6	0
tom	5	2	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	6	0	0	0	0	1	1	0
ton	28	6	10	3	20	13	12	8	2	50	7	21	2	13	11	9	6	75	2	0	24	15	15	19	1
top	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0
tor	212	4	3	22	45	103	12	7	15	198	29	175	15	17	6	15	8	363	19	5	166	154	182	18	15
tos	59	4	10	2	74	15	9	7	9	61	31	43	3	2	16	8	20	91	27	4	101	54	280	6	7
tot	244	0	0	23	1	110	12	1	35	310	65	234	2	45	2	1	23	256	5	0	267	228	0	5	1
tou	4	51	69	1	464	7	11	35	5	6	0	3	17	3	89	77	0	16	0	29	3	1	1283	105	29
tov	7	0	0	1	0	0	0	0	0	1	3	3	0	0	0	0	0	5	0	0	2	3	0	0	0
tox	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
toy	0	1	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
toz	123	0	0	17	11	67	0	0	11	107	0	117	5	10	0	0	0	131	0	0	104	100	0	0	6
toë	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
toï	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
toü	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tp 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tpe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
tpl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
tpo	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
tqu	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
tr 	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0
tra	219	12	13	14	136	36	9	17	9	128	18	159	5	11	25	8	11	254	24	7	151	96	296	29	9
trc	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tre	740	29	92	67	623	360	43	64	73	800	107	655	30	77	147	119	31	951	51	18	693	729	1063	142	94
tri	32	0	3	6	13	7	0	9	7	23	4	40	2	4	22	6	1	56	2	2	20	48	137	3	5
tro	288	12	35	14	168	63	14	7	19	159	33	143	7	8	41	32	1	119	7	4	161	155	601	24	16
tru	48	1	4	2	30	12	4	0	3	45	7	29	1	1	2	1	5	31	0	2	42	18	66	3	6
trv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
trè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	1	3	0	0	0	0	213	1	2
tré	13	1	13	0	15	5	0	0	1	10	8	7	0	0	6	9	2	55	0	0	5	14	88	19	5
trö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ts
	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ts 	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	3	0	0
tse	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tso	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
tta	0	1	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
tte	0	2	0	0	0	0	2	1	0	0	0	0	0	1	9	0	0	0	0	0	4	0	3	0	0
tti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
tto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ttr	0	4	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	17	0	0
tté	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
tu
	10	3	3	0	7	3	0	5	0	36	0	9	0	0	0	0	0	11	0	0	20	16	15	0	0
tu 	25	18	4	2	52	74	42	74	2	168	16	27	1	6	8	4	17	105	7	0	86	46	6	21	2
tua	0	0	0	0	2	0	0	0	0	2	0	3	0	0	1	1	0	0	0	0	0	0	3	0	0
tub	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
tud	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0
tue	16	0	0	0	14	13	3	0	3	29	3	28	0	1	6	0	3	46	0	2	25	41	38	10	2
tui	78	3	0	3	70	33	4	8	7	88	5	95	3	3	3	7	4	158	6	1	105	118	10	1	3
tul	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tum	0	0	0	0	9	5	0	4	2	5	0	11	0	1	2	1	0	1	0	0	10	13	37	2	0
tun	3	0	0	0	1	1	0	0	0	2	0	0	0	0	10	0	0	4	0	0	4	2	1	0	0
tuo	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tup	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tur	39	3	2	1	53	16	3	11	6	51	4	52	3	4	15	13	3	76	1	3	23	54	39	7	6
tus	2	4	3	0	11	1	0	0	0	24	2	14	0	0	1	1	1	57	2	0	3	13	22	1	0
tut	4	0	0	1	2	0	0	0	0	6	7	7	0	1	0	0	0	8	0	0	7	10	0	1	0
tuv	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
tuy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tuz	7	0	0	1	0	1	0	0	0	6	0	8	0	1	0	0	0	10	0	0	10	10	1	0	0
tué	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	3	1	0
tuë	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tv 	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tvc	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
tve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
tvi	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
tvo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ty 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tyd	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0
tym	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyo	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
tyr	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
tz 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
tè 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
tèl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
tèr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0
tès	14	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
té
	72	3	28	3	41	41	7	0	17	61	0	78	0	0	2	1	6	68	0	0	61	62	361	53	22
té 	74	3	17	3	41	25	1	13	17	54	0	70	7	0	52	33	9	82	0	0	36	59	196	4	14
tée	0	5	3	1	0	0	2	0	0	0	9	0	0	0	1	1	3	0	0	0	0	0	89	10	0
tél	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tén	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tér	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	18	0	0	0	0	0	4	0
tés	1	0	1	0	34	0	1	0	0	1	22	0	0	0	9	18	1	0	0	0	0	1	96	13	0
tét	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
téz	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
tïe	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0
tïo	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tôt	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
tüe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
u
a	5	0	0	0	4	4	0	0	1	13	0	2	1	0	0	1	1	2	0	0	7	12	11	0	0
u
b	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	1	2	0	1
u
c	5	1	2	0	1	2	0	1	1	7	0	5	0	0	1	1	0	5	0	0	7	4	28	0	0
u
d	2	1	0	0	4	2	0	0	0	11	0	6	0	0	0	0	0	7	0	0	7	8	20	3	0
u
e	2	1	1	0	5	4	0	0	4	21	0	11	0	1	0	1	0	11	0	1	8	13	26	1	1
u
f	0	0	0	0	2	2	0	1	0	3	0	1	0	0	0	0	0	1	0	0	2	2	7	0	0
u
g	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0
u
h	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
u
i	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
u
j	2	0	1	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0
u
k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0
u
l	6	2	1	0	6	7	0	3	1	16	0	5	0	0	1	1	0	5	0	1	10	13	30	0	0
u
m	2	0	1	0	4	3	0	3	0	3	0	6	0	0	1	3	0	3	0	0	5	7	15	0	0
u
n	2	0	0	0	3	1	0	1	1	1	0	4	0	0	0	0	0	6	0	0	1	1	6	1	0
u
o	7	0	0	0	1	1	0	0	1	4	0	1	0	0	0	0	0	1	0	1	0	5	4	0	0
u
p	3	0	1	0	0	1	0	1	1	3	0	3	0	0	1	0	0	8	0	0	9	3	7	1	0
u
q	8	1	1	0	10	3	0	0	3	25	0	15	0	1	0	1	1	13	0	2	14	22	27	0	0
u
r	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
u
s	4	0	0	0	4	4	0	1	1	12	0	2	0	0	1	0	0	14	0	0	4	5	18	1	2
u
t	2	0	0	0	3	1	0	0	0	3	0	1	0	2	0	0	0	3	0	0	3	3	7	0	0
u
u	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
u
v	0	0	0	0	0	2	0	2	1	4	0	1	0	0	0	2	0	1	0	0	0	2	3	0	0
u
y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
u
à	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
u
ç	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
u a	37	12	7	0	28	22	10	4	5	66	18	35	4	3	18	24	3	59	3	1	43	47	71	22	5
u b	14	2	5	0	13	14	2	4	1	15	2	10	0	0	3	5	2	30	0	0	10	18	46	2	2
u c	21	16	39	0	72	41	17	8	7	69	23	43	5	1	29	27	6	26	3	3	59	47	252	17	12
u d	45	10	15	3	53	24	9	4	7	74	18	53	3	5	25	23	11	65	3	2	55	62	161	25	5
u e	44	8	11	4	47	40	0	18	15	58	8	25	3	6	43	46	6	60	4	7	46	39	126	19	9
u f	22	9	12	1	24	14	3	14	7	38	5	18	0	0	13	16	6	35	2	3	21	28	55	11	1
u g	22	0	3	0	8	13	0	0	0	18	3	5	0	3	3	1	1	16	0	0	13	8	16	6	2
u h	2	0	0	0	6	5	0	0	0	4	2	1	0	0	2	1	0	4	0	0	3	3	13	0	0
u i	16	1	2	1	26	13	3	4	5	46	6	11	2	4	6	12	0	35	1	0	34	19	19	18	4
u j	6	1	1	1	15	14	0	4	2	12	6	12	1	0	4	5	1	12	2	0	15	13	33	6	0
u k	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	1	0	6	1	0
u l	49	11	11	4	53	22	12	21	3	84	22	53	7	2	11	33	10	75	1	0	65	54	188	26	4
u m	46	4	17	1	76	43	4	5	6	94	22	51	6	7	21	33	3	68	2	0	54	43	137	25	5
u n	17	9	5	1	21	23	1	5	6	58	15	23	1	4	5	21	2	38	3	0	30	16	43	19	1
u o	11	3	3	0	11	5	4	2	3	13	6	4	1	0	1	4	4	14	0	0	8	7	27	0	1
u p	26	5	19	4	55	38	11	20	11	76	16	46	3	1	28	27	5	50	1	2	71	49	193	24	10
u q	6	9	6	1	18	22	2	1	12	36	1	9	1	7	10	8	5	9	0	2	17	13	41	17	5
u r	14	0	2	4	28	13	1	1	1	47	3	24	1	0	14	8	1	5	1	0	15	27	176	3	1
u s	31	13	14	5	74	28	4	10	9	91	29	38	2	8	45	41	12	43	2	2	43	41	145	23	4
u t	20	6	14	3	28	40	8	6	7	40	19	21	3	3	18	7	2	29	4	1	30	36	90	11	1
u u	4	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	13	1	0	1	1	5	0	0
u v	10	6	10	2	31	23	5	26	3	48	11	16	2	1	13	23	3	33	3	0	31	27	63	7	5
u w	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u x	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u y	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
u à	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0
u ç	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0
u è	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
u é	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
u0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ua
	0	0	2	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ua 	53	1	5	5	41	24	1	0	1	61	0	58	1	1	10	4	0	30	0	0	58	47	5	3	4
uaa	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
uab	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
uac	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
uad	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1
uaf	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
uag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0
uai	15	1	1	0	8	2	0	0	0	16	0	18	2	0	1	0	0	42	0	1	17	3	7	0	1
ual	13	1	1	1	3	1	0	0	1	4	0	7	0	0	0	0	0	56	0	2	6	5	4	0	0
uam	1	0	0	0	2	0	0	0	0	3	0	10	1	0	0	0	0	1	0	0	6	3	1	0	0
uan	170	22	63	10	199	109	17	72	39	214	5	157	14	23	19	68	11	288	12	17	322	273	575	59	22
uao	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uap	1	0	0	0	1	1	0	0	2	5	0	8	0	0	0	0	0	1	0	0	2	1	2	0	0
uaq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uar	250	0	0	12	22	5	0	0	0	13	0	11	10	19	2	4	0	167	2	1	4	11	24	1	21
uas	16	0	3	1	4	4	0	0	0	14	0	13	1	0	0	0	1	21	0	0	8	18	3	1	0
uat	8	0	2	1	14	0	5	0	0	3	0	4	0	1	0	0	0	30	1	0	3	21	3	2	0
uau	8	0	2	1	11	10	1	0	2	27	0	14	0	0	2	0	0	15	0	1	15	20	3	1	3
uav	3	0	0	0	4	0	0	0	1	11	0	5	0	0	0	0	0	4	0	0	8	7	0	0	1
uax	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uay	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uaé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uba	4	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	5	1	0	0
ubd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ube	20	0	2	3	14	5	0	1	0	17	0	5	2	0	4	0	0	49	0	2	8	28	13	1	0
ubi	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	2	7	0	0	1	19	0	1
ubj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ubl	3	0	1	0	12	0	2	0	0	9	2	5	1	0	4	1	0	7	2	5	10	5	57	8	1
ubo	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ubr	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ubt	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ubu	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ubz	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ubé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
uc
	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uc 	1	0	2	0	9	0	2	0	0	0	3	19	1	0	13	0	2	18	3	1	0	1	7	1	0
uca	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ucc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
uce	35	2	53	7	2	26	0	2	7	165	3	42	9	0	8	3	0	17	0	0	66	140	180	47	10
uch	38	0	16	4	80	14	1	8	4	8	38	4	2	0	1	4	1	83	0	0	31	37	88	0	3
uci	6	2	5	0	3	0	1	3	3	11	6	0	0	0	1	2	0	15	0	4	7	5	42	2	0
ucl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
uco	1	0	0	0	1	0	1	64	0	1	0	1	2	0	0	0	0	2	0	0	0	2	12	0	0
ucr	0	8	2	0	1	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ucs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
uct	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
ucu	3	0	1	0	6	2	5	6	4	12	0	9	0	0	0	5	0	3	0	2	4	2	22	0	4
ucè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
ucï	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ud 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
uda	0	1	0	0	0	0	0	0	0	2	0	0	0	0	34	46	0	0	2	0	2	0	3	0	0
ude	1	0	1	2	6	2	0	5	0	5	1	6	0	15	1	1	0	20	2	0	3	6	7	0	0
udh	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
udi	4	2	0	0	2	4	1	1	2	2	2	2	0	0	2	0	0	17	1	0	3	6	6	0	0
udo	3	0	3	1	3	0	0	0	0	0	0	0	0	0	0	10	0	14	0	4	0	2	8	1	2
udr	24	0	3	7	8	23	6	4	3	9	0	12	1	0	0	0	0	34	0	0	11	40	9	0	3
udu	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
udé	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
udï	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ue
	39	4	9	2	47	23	0	21	5	75	26	63	3	0	4	5	8	64	0	4	52	58	119	7	3
ue 	670	62	98	60	1147	484	85	143	92	1544	19	955	42	73	178	76	44	1085	41	47	1054	867	2991	182	134
uea	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
ueb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
uec	23	0	0	4	1	16	0	1	0	2	11	10	0	0	2	2	0	58	0	1	6	59	72	16	4
ued	1	0	0	1	0	0	0	0	0	0	0	3	0	13	0	0	0	2	0	0	0	0	0	0	0
uee	7	0	0	0	7	1	1	0	0	4	3	15	1	0	1	0	0	17	0	2	5	4	8	0	0
uef	2	0	1	2	4	0	0	3	0	3	0	4	0	0	0	1	0	15	0	0	3	4	2	3	1
ueg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ueh	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0
uei	76	7	1	1	9	59	0	4	3	10	5	5	1	2	0	0	4	76	2	0	4	17	80	1	15
